test_case_id,scanner,operating_point,run,finding_summary,classification,ground_truth,match,category,max_severity
cve_2025_6514,medusa,OP1_any,1,MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti,TP,vulnerable,True,ASI04,CRITICAL
cve_2025_6514,medusa,OP2_medium,1,MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti,TP,vulnerable,True,ASI04,CRITICAL
cve_2025_6514,medusa,OP3_high,1,MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti,TP,vulnerable,True,ASI04,CRITICAL
cve_2025_6514,medusa,OP4_critical,1,MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti,TP,vulnerable,True,ASI04,CRITICAL
cve_2025_6514,sigil,OP1_score_gt13,1,"score=19,bandit=2",TP,vulnerable,True,ASI04,score=19
cve_2025_6514,sigil,OP2_score_gt19,1,"score=19,bandit=2",FN,vulnerable,False,ASI04,score=19
cve_2025_68143,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI02,SAFE
cve_2025_68143,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI02,SAFE
cve_2025_68143,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI02,SAFE
cve_2025_68143,medusa,OP1_any,1,none,FN,vulnerable,False,ASI02,SAFE
cve_2025_68143,medusa,OP2_medium,1,none,FN,vulnerable,False,ASI02,SAFE
cve_2025_68143,medusa,OP3_high,1,none,FN,vulnerable,False,ASI02,SAFE
cve_2025_68143,medusa,OP4_critical,1,none,FN,vulnerable,False,ASI02,SAFE
cve_2025_68143,sigil,OP1_score_gt13,1,"score=13,bandit=0",FN,vulnerable,False,ASI02,score=13
cve_2025_68143,sigil,OP2_score_gt19,1,"score=13,bandit=0",FN,vulnerable,False,ASI02,score=13
cve_2025_68144,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI02,SAFE
cve_2025_68144,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI02,SAFE
cve_2025_68144,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI02,SAFE
cve_2025_68144,medusa,OP1_any,1,MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti,TP,vulnerable,True,ASI02,CRITICAL
cve_2025_68144,medusa,OP2_medium,1,MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti,TP,vulnerable,True,ASI02,CRITICAL
cve_2025_68144,medusa,OP3_high,1,MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti,TP,vulnerable,True,ASI02,CRITICAL
cve_2025_68144,medusa,OP4_critical,1,MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti,TP,vulnerable,True,ASI02,CRITICAL
cve_2025_68144,sigil,OP1_score_gt13,1,"score=19,bandit=1",TP,vulnerable,True,ASI02,score=19
cve_2025_68144,sigil,OP2_score_gt19,1,"score=19,bandit=1",FN,vulnerable,False,ASI02,score=19
cve_2025_68145,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI03,SAFE
cve_2025_68145,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI03,SAFE
cve_2025_68145,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI03,SAFE
cve_2025_68145,medusa,OP1_any,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI03,MEDIUM
cve_2025_68145,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI03,MEDIUM
cve_2025_68145,medusa,OP3_high,1,MCPServerScanner:MEDIUM:MCP git tool without path validation,FN,vulnerable,False,ASI03,MEDIUM
